"Batch_No","Product","Site","Manufacture_Date","Release_Date","Operator_ID","Batch_Size_kg","Assay_pct","Dissolution_pct","pH","Moisture_pct","Yield_pct","Assay_Fail","Dissolution_Fail","pH_Fail","Moisture_Fail","Result","Batch_Status","Deviation_Raised","CAPA_Required"
"BN-DUN-202412-0364","Biologics-DS-A","Dunboyne","2024-12-19",2025-01-02,"OP-008",99.9,97.67,84,7.43,0.197,86.15,"No","No","Yes","No","Fail","Under Review","Yes","Yes"
"BN-DUN-202412-0005","Biologics-DS-A","Dunboyne","2024-12-24",2025-01-04,"OP-010",249.8,97.35,86.39,7.28,0.274,85.84,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202412-0122","HepC-API","Ballydine","2024-12-24",2025-01-01,"OP-016",101.8,98.88,91.2,7.27,0.271,91.01,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202412-0420","Gardasil-Fill","Carlow","2024-12-25",2025-01-01,"OP-004",50.9,98.81,87.76,6.97,0.261,88.02,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202412-0131","Biologics-DS-A","Dunboyne","2024-12-26",2025-01-04,"OP-019",195.9,97.73,96.29,7.23,0.272,82.78,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202412-0584","Keytruda-API","Ballydine","2024-12-29",2025-01-05,"OP-002",48.9,98.71,90.17,7.1,0.236,84.54,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202501-0392","Oncology-BioTx_01","Brinny","2025-01-03",2025-01-19,"OP-013",205,98.18,86.57,7.02,0.332,87.07,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202501-0001","Biologics-DS-A","Dunboyne","2025-01-04",2025-01-10,"OP-003",50,97.93,85.69,7.06,0.311,88.26,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202501-0287","Oncology-BioTx_01","Brinny","2025-01-04",2025-01-16,"OP-016",201.1,98.27,84.59,7.02,0.281,87.22,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202501-0040","Biologics-DS-B","Dunboyne","2025-01-07",2025-01-20,"OP-004",199.7,97,79.61,7.13,0.266,84.6,"No","Yes","No","No","Fail","Rejected","Yes","Yes"
"BN-DUN-202501-0151","Biologics-DS-A","Dunboyne","2025-01-08",2025-01-16,"OP-001",101,98.77,88.81,7.2,0.18,86,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202501-0241","Oncology-BioTx_01","Brinny","2025-01-12",2025-01-28,"OP-007",201.3,98.46,89.64,6.79,0.282,85.83,"No","No","Yes","No","Fail","Under Review","Yes","Yes"
"BN-BAL-202501-0413","Keytruda-API","Ballydine","2025-01-14",2025-01-19,"OP-001",247.5,99.83,86.72,6.98,0.349,89.43,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202501-0267","Biologics-DS-B","Dunboyne","2025-01-15",2025-01-26,"OP-007",102.7,98.44,89.18,7.05,0.49,87.51,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202501-0471","Keytruda-API","Ballydine","2025-01-15",2025-01-28,"OP-009",198.6,98.42,87.62,7.02,0.24,84.79,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202501-0046","Oncology-BioTx_01","Brinny","2025-01-17",2025-01-29,"OP-007",54.1,98.91,86.24,7.05,0.165,86.69,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202501-0516","Gardasil-Fill","Carlow","2025-01-23",2025-02-05,"OP-002",246.3,97.9,83.32,7.18,0.285,90.94,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202501-0588","Keytruda-API","Ballydine","2025-01-23",2025-02-08,"OP-007",253.2,99.95,95.48,7.05,0.264,88.74,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202501-0111","Oncology-BioTx_01","Brinny","2025-01-24",2025-02-04,"OP-001",200.3,99.4,88.5,7.08,0.277,84.27,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202501-0450","HepC-API","Ballydine","2025-01-24",2025-01-30,"OP-002",200.6,99.29,87.24,7.05,0.293,84.93,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202501-0326","Keytruda-API","Ballydine","2025-01-25",2025-02-03,"OP-002",53,99.19,88.57,6.93,0.136,87.74,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202501-0479","Gardasil-Fill","Carlow","2025-01-27",2025-02-05,"OP-016",53.4,99.08,88.82,6.99,0.391,90.49,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202501-0553","Biologics-DS-B","Dunboyne","2025-01-28",2025-02-08,"OP-002",100,97.35,83.54,6.92,0.39,86.28,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202501-0166","Oncology-BioTx_01","Brinny","2025-01-30",2025-02-04,"OP-016",50.9,98.57,83.63,7.14,0.195,88.21,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202502-0345","Biologics-DS-A","Dunboyne","2025-02-04",2025-02-18,"OP-012",195.5,98.06,83.59,7.07,0.282,83.06,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202502-0314","Biologics-DS-B","Dunboyne","2025-02-05",2025-02-19,"OP-008",200.2,97.92,88.46,7.01,0.19,85.29,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202502-0389","Gardasil-Fill","Carlow","2025-02-06",2025-02-15,"OP-018",252.1,98.47,87.38,7.03,0.301,91.45,"No","No","No","No","Pass","Released","Yes","Yes"
"BN-BAL-202502-0541","HepC-API","Ballydine","2025-02-06",2025-02-11,"OP-014",103.9,98.68,91.7,7.28,0.232,92.17,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202502-0514","Biologics-DS-A","Dunboyne","2025-02-07",2025-02-15,"OP-018",196,97.92,86.7,6.92,0.333,84.13,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202502-0275","Gardasil-Fill","Carlow","2025-02-10",2025-02-20,"OP-003",201.2,99,86.14,7.17,0.343,92.97,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202502-0383","Biologics-DS-B","Dunboyne","2025-02-12",2025-02-19,"OP-007",197.9,97.84,85.49,6.92,0.254,86.52,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202502-0464","Keytruda-API","Ballydine","2025-02-14",2025-02-24,"OP-008",204.5,98.98,91.53,7.1,0.279,86.89,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202502-0115","Biologics-DS-A","Dunboyne","2025-02-16",2025-03-05,"OP-008",47.6,97.43,86.38,7.36,0.225,85.85,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202502-0086","Keytruda-API","Ballydine","2025-02-17",2025-02-28,"OP-019",51,98.16,90,7.17,0.262,85.35,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202502-0180","HepC-API","Ballydine","2025-02-18",2025-03-08,"OP-013",250.7,98.74,86.97,7.2,0.212,86.72,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202502-0350","Keytruda-API","Ballydine","2025-02-19",2025-03-04,"OP-008",248.3,98.67,90.39,7.01,0.199,87.37,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202502-0266","Keytruda-API","Ballydine","2025-02-21",2025-03-04,"OP-010",99.7,98.55,85.48,7.18,0.313,86.24,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202502-0027","HepC-API","Ballydine","2025-02-22",2025-03-02,"OP-002",252.3,99.36,87.7,6.93,0.347,82.99,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202502-0244","Keytruda-API","Ballydine","2025-02-22",2025-03-12,"OP-002",51.8,99.34,91.53,7.13,0.326,88.8,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202502-0387","Keytruda-API","Ballydine","2025-02-24",2025-03-10,"OP-005",96.9,99.81,88.63,7.26,0.287,85.03,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202502-0462","Biologics-DS-B","Dunboyne","2025-02-25",2025-03-02,"OP-019",46.3,97.78,90.05,7.19,0.261,83.3,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202502-0382","Gardasil-Fill","Carlow","2025-02-26",2025-03-08,"OP-018",100.2,98.5,92.13,7.1,0.179,96.17,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202502-0048","Biologics-DS-A","Dunboyne","2025-02-28",2025-03-05,"OP-012",48,97.25,87.45,7.1,0.316,84.17,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202502-0147","Keytruda-API","Ballydine","2025-02-28",2025-03-11,"OP-012",96.6,99.83,84.59,7.14,0.259,86.63,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202503-0580","Biologics-DS-A","Dunboyne","2025-03-03",2025-03-16,"OP-005",195.2,97,89.55,6.98,0.276,81.7,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202503-0020","HepC-API","Ballydine","2025-03-04",2025-03-11,"OP-017",204.7,99.75,86.63,7.06,0.223,89.35,"No","No","No","No","Pass","Released","Yes","Yes"
"BN-BAL-202503-0337","HepC-API","Ballydine","2025-03-04",2025-03-13,"OP-002",204.4,98.96,89.3,7.09,0.229,88.38,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202503-0311","Biologics-DS-B","Dunboyne","2025-03-06",2025-03-14,"OP-017",198.9,97.73,94.07,7.19,0.323,88.32,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202503-0117","Biologics-DS-B","Dunboyne","2025-03-07",2025-03-24,"OP-006",245.6,97.87,90.57,7.14,0.229,84.79,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202503-0379","Biologics-DS-B","Dunboyne","2025-03-07",2025-03-24,"OP-013",50.8,99.1,89.56,7.13,0.246,80.47,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202503-0386","Biologics-DS-B","Dunboyne","2025-03-07",2025-03-21,"OP-017",196,98.3,87.61,7.06,0.351,85.24,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202503-0044","Keytruda-API","Ballydine","2025-03-09",2025-03-26,"OP-001",99.7,99.3,91.57,7.25,0.405,89.01,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202503-0285","Keytruda-API","Ballydine","2025-03-09",2025-03-16,"OP-006",52.9,100.01,87.6,7.03,0.235,89.48,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202503-0268","Oncology-BioTx_01","Brinny","2025-03-10",2025-03-23,"OP-020",202.2,97.87,89.37,7.16,0.327,83.97,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202503-0476","Biologics-DS-A","Dunboyne","2025-03-10",2025-03-17,"OP-014",46.5,97.01,88.46,7.07,0.193,81.9,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202503-0050","HepC-API","Ballydine","2025-03-12",2025-03-20,"OP-006",245.1,98.89,88.28,6.99,0.197,89.55,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202503-0281","Gardasil-Fill","Carlow","2025-03-12",2025-03-22,"OP-016",47.9,98.85,84.8,7.15,0.333,89.26,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202503-0594","Keytruda-API","Ballydine","2025-03-13",2025-03-28,"OP-015",204.6,100.06,89.08,7.01,0.269,91.14,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202503-0073","Gardasil-Fill","Carlow","2025-03-16",2025-03-22,"OP-017",199.3,98.66,87.11,7,0.323,91.12,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202503-0165","Gardasil-Fill","Carlow","2025-03-16",2025-04-03,"OP-020",54.1,98.92,86.5,7.18,0.259,96,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202503-0322","Keytruda-API","Ballydine","2025-03-16",2025-03-28,"OP-004",103,98.57,85.12,7.09,0.331,88.88,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202503-0531","Oncology-BioTx_01","Brinny","2025-03-16",2025-03-27,"OP-013",251.9,99.26,90.53,7.19,0.182,87.74,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202503-0172","Biologics-DS-B","Dunboyne","2025-03-17",2025-03-31,"OP-018",97.1,98.08,89.21,7.06,0.274,90.45,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202503-0283","Biologics-DS-A","Dunboyne","2025-03-18",2025-04-04,"OP-011",102.9,98.23,86.44,7.12,0.161,83.88,"No","No","No","No","Pass","Released","Yes","Yes"
"BN-BAL-202503-0481","Keytruda-API","Ballydine","2025-03-19",2025-04-03,"OP-001",97.4,95.68,73.37,6.66,0.654,74.93,"Yes","Yes","Yes","Yes","Fail","Rejected","Yes","Yes"
"BN-BAL-202503-0252","Keytruda-API","Ballydine","2025-03-20",2025-03-29,"OP-013",195.7,101.22,73.66,6.74,0.539,74.52,"Yes","Yes","Yes","Yes","Fail","Under Review","Yes","Yes"
"BN-BRI-202503-0015","Oncology-BioTx_01","Brinny","2025-03-21",2025-04-02,"OP-014",45.7,98.57,85.68,7.07,0.147,88.72,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202503-0078","HepC-API","Ballydine","2025-03-23",2025-04-10,"OP-005",103.9,98.63,87.81,6.95,0.254,91.61,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202503-0459","Keytruda-API","Ballydine","2025-03-23",2025-04-01,"OP-002",249.5,98.94,89.09,6.86,0.242,87.17,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202503-0564","HepC-API","Ballydine","2025-03-23",2025-03-31,"OP-009",45.8,99.2,84.88,7.23,0.288,88.36,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202503-0023","Oncology-BioTx_01","Brinny","2025-03-27",2025-04-06,"OP-003",247,98.09,93.42,7.1,0.33,93.02,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202503-0485","Biologics-DS-A","Dunboyne","2025-03-27",2025-04-08,"OP-003",47.6,98.1,85.36,7.07,0.315,83.47,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202503-0583","Keytruda-API","Ballydine","2025-03-27",2025-04-10,"OP-005",246,98.98,85.24,7.12,0.229,84.82,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202503-0144","Keytruda-API","Ballydine","2025-03-29",2025-04-12,"OP-003",95.4,97.4,87.92,7.11,0.258,86.65,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202503-0385","HepC-API","Ballydine","2025-03-29",2025-04-10,"OP-002",202.6,99.08,88.22,7.12,0.277,89.34,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202503-0346","Biologics-DS-B","Dunboyne","2025-03-30",2025-04-06,"OP-020",196.8,98.68,88.98,7.14,0.421,91.17,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202504-0501","HepC-API","Ballydine","2025-04-01",2025-04-16,"OP-006",47.1,98.25,86.03,7.3,0.305,86.59,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202504-0355","HepC-API","Ballydine","2025-04-02",2025-04-13,"OP-002",51.2,99.81,84.08,7.04,0.407,86.93,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202504-0411","Biologics-DS-A","Dunboyne","2025-04-02",2025-04-16,"OP-020",197.8,97.32,93.78,7.15,0.395,87.65,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202504-0018","Biologics-DS-B","Dunboyne","2025-04-04",2025-04-15,"OP-005",251.7,98.6,93.59,7.02,0.315,88.15,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202504-0349","HepC-API","Ballydine","2025-04-04",2025-04-22,"OP-003",97.1,98.99,90.05,7.04,0.249,88.54,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202504-0297","Oncology-BioTx_01","Brinny","2025-04-07",2025-04-15,"OP-003",197.6,99.32,85.41,7.17,0.335,85.66,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202504-0405","Gardasil-Fill","Carlow","2025-04-07",2025-04-21,"OP-007",51.1,97.71,85.24,7.19,0.329,93.17,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202504-0461","Keytruda-API","Ballydine","2025-04-07",2025-04-18,"OP-014",201.2,99.25,91.34,7.06,0.134,88.87,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202504-0013","Keytruda-API","Ballydine","2025-04-09",2025-04-26,"OP-015",98,98.93,89.23,7.06,0.347,89.59,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202504-0185","Biologics-DS-A","Dunboyne","2025-04-09",2025-04-15,"OP-006",246.9,97.82,88.37,6.97,0.126,86.12,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202504-0537","Biologics-DS-B","Dunboyne","2025-04-11",2025-04-17,"OP-018",198.9,98.52,84.89,7.11,0.239,83.48,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202504-0123","Biologics-DS-B","Dunboyne","2025-04-12",2025-04-21,"OP-005",101.6,97.71,84.73,7.5,0.31,84.64,"No","No","Yes","No","Fail","Rejected","Yes","Yes"
"BN-DUN-202504-0221","Biologics-DS-B","Dunboyne","2025-04-15",2025-04-23,"OP-009",195.5,97.44,89.67,6.93,0.222,88.04,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202504-0376","Gardasil-Fill","Carlow","2025-04-16",2025-05-02,"OP-018",53.1,98.25,91.39,7.21,0.335,94.25,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202504-0393","Gardasil-Fill","Carlow","2025-04-17",2025-04-27,"OP-017",100.6,98.51,83.75,7.13,0.173,89.81,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202504-0031","Biologics-DS-A","Dunboyne","2025-04-19",2025-05-01,"OP-004",103.7,98.26,89.36,6.94,0.14,88.25,"No","No","No","No","Pass","Released","Yes","Yes"
"BN-BRI-202504-0067","Oncology-BioTx_01","Brinny","2025-04-19",2025-05-05,"OP-016",49.4,99.07,86.39,7.11,0.291,85.34,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202504-0213","Keytruda-API","Ballydine","2025-04-20",2025-05-08,"OP-020",102.3,98.25,88.33,7.28,0.334,89.19,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202504-0375","Gardasil-Fill","Carlow","2025-04-20",2025-04-29,"OP-005",254.8,97.57,83,7.33,0.359,98.02,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202504-0427","Biologics-DS-B","Dunboyne","2025-04-20",2025-05-04,"OP-020",252.5,97.83,88.93,7.35,0.239,83.84,"No","No","No","No","Pass","Released","Yes","Yes"
"BN-BAL-202504-0472","Keytruda-API","Ballydine","2025-04-20",2025-05-06,"OP-001",50.8,98.36,92.07,7.21,0.149,88.96,"No","No","No","No","Pass","Released","Yes","Yes"
"BN-BAL-202504-0496","HepC-API","Ballydine","2025-04-21",2025-05-02,"OP-009",247.8,99.83,92.95,6.84,0.418,88.54,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202504-0188","HepC-API","Ballydine","2025-04-22",2025-04-29,"OP-009",103.6,99.21,89.39,6.98,0.223,88.86,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202504-0307","HepC-API","Ballydine","2025-04-22",2025-04-27,"OP-005",98.6,99.73,83.88,7.04,0.239,94.35,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202504-0445","Biologics-DS-A","Dunboyne","2025-04-23",2025-04-30,"OP-010",196.3,97.51,84.06,7.23,0.21,84.46,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202504-0566","Oncology-BioTx_01","Brinny","2025-04-24",2025-05-04,"OP-006",249,98.93,87.34,7.19,0.262,86.53,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202504-0008","Keytruda-API","Ballydine","2025-04-25",2025-05-02,"OP-019",49.5,100.78,90.08,7.26,0.3,86.17,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202504-0196","Gardasil-Fill","Carlow","2025-04-26",2025-05-10,"OP-013",198,99.76,84.01,7.08,0.303,89.37,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202504-0543","Gardasil-Fill","Carlow","2025-04-26",2025-05-02,"OP-006",250.3,98.59,87.6,7.07,0.325,88.56,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202504-0329","Oncology-BioTx_01","Brinny","2025-04-28",2025-05-06,"OP-006",51.5,98.73,87.31,7.08,0.236,91.19,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202504-0540","Keytruda-API","Ballydine","2025-04-28",2025-05-03,"OP-007",104.3,98.93,86.99,7.17,0.293,85.29,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202504-0002","Oncology-BioTx_01","Brinny","2025-04-29",2025-05-08,"OP-012",252,98.95,82.13,7.01,0.207,85,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202504-0108","Biologics-DS-B","Dunboyne","2025-04-29",2025-05-12,"OP-002",251.7,97.76,92.8,7.12,0.217,87.66,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202504-0229","Gardasil-Fill","Carlow","2025-04-30",2025-05-13,"OP-018",245.4,98.8,90.57,7.35,0.281,90.99,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202505-0506","Biologics-DS-A","Dunboyne","2025-05-01",2025-05-09,"OP-009",197.4,97,87.4,7.16,0.412,83.64,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202505-0181","Biologics-DS-B","Dunboyne","2025-05-03",2025-05-08,"OP-008",98.7,99.15,83.16,7.05,0.187,83.87,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202505-0160","Biologics-DS-B","Dunboyne","2025-05-05",2025-05-16,"OP-015",250.5,97.43,89.67,6.87,0.273,84.7,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202505-0304","Biologics-DS-A","Dunboyne","2025-05-06",2025-05-16,"OP-007",50.1,97,89.16,7.13,0.198,85.57,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202505-0207","Gardasil-Fill","Carlow","2025-05-07",2025-05-18,"OP-010",46.2,98.85,85.1,6.84,0.434,92.64,"No","No","No","No","Pass","Released","Yes","Yes"
"BN-CAR-202505-0507","Gardasil-Fill","Carlow","2025-05-07",2025-05-24,"OP-019",103.2,97.93,83.51,7.23,0.238,93.22,"No","No","No","No","Pass","Released","Yes","Yes"
"BN-DUN-202505-0209","Biologics-DS-B","Dunboyne","2025-05-08",2025-05-13,"OP-001",202.6,97.77,86.4,6.93,0.293,87.7,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202505-0518","Biologics-DS-A","Dunboyne","2025-05-08",2025-05-22,"OP-018",200.9,98.01,89.5,6.75,0.185,80.2,"No","No","Yes","No","Fail","Under Review","Yes","Yes"
"BN-CAR-202505-0536","Gardasil-Fill","Carlow","2025-05-08",2025-05-17,"OP-015",204.9,98.76,86.1,6.93,0.262,90.56,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202505-0009","Biologics-DS-B","Dunboyne","2025-05-09",2025-05-23,"OP-017",247.1,97.32,89.26,7.23,0.14,87.91,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202505-0508","Biologics-DS-A","Dunboyne","2025-05-09",2025-05-15,"OP-020",95.3,98.12,90.02,7.33,0.375,81.51,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202505-0090","Gardasil-Fill","Carlow","2025-05-12",2025-05-27,"OP-002",251.9,102.02,75.48,6.76,0.35,77.35,"Yes","Yes","Yes","No","Fail","Rejected","Yes","Yes"
"BN-BRI-202505-0465","Oncology-BioTx_01","Brinny","2025-05-12",2025-05-28,"OP-018",254.9,99.31,83.45,7.11,0.29,87.12,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202505-0439","Oncology-BioTx_01","Brinny","2025-05-13",2025-05-26,"OP-005",46.1,98.08,85.35,7,0.329,83.66,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202505-0538","Gardasil-Fill","Carlow","2025-05-13",2025-05-23,"OP-019",196.2,97.8,90.59,7.07,0.261,93.72,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202505-0321","HepC-API","Ballydine","2025-05-14",2025-05-29,"OP-003",95.1,99.58,88.51,7.03,0.169,84.88,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202505-0585","Biologics-DS-A","Dunboyne","2025-05-15",2025-05-27,"OP-016",247.3,98.26,87.59,6.94,0.416,84.46,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202505-0599","Keytruda-API","Ballydine","2025-05-17",2025-05-31,"OP-015",203.5,99.12,84.63,7.04,0.184,87.42,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202505-0035","HepC-API","Ballydine","2025-05-18",2025-06-05,"OP-008",252.6,98.79,89.46,7.18,0.224,87.4,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202505-0258","Keytruda-API","Ballydine","2025-05-18",2025-05-24,"OP-008",201.8,99.71,97.55,7.04,0.309,89.97,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202505-0416","Biologics-DS-A","Dunboyne","2025-05-18",2025-05-26,"OP-020",252.6,97.01,89.15,7.21,0.268,83.03,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202505-0600","Biologics-DS-A","Dunboyne","2025-05-18",2025-05-26,"OP-015",52.3,98.28,96.69,6.85,0.385,86.01,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202505-0047","Biologics-DS-B","Dunboyne","2025-05-19",2025-05-31,"OP-011",198.9,97,91.81,7.17,0.295,88.3,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202505-0521","Gardasil-Fill","Carlow","2025-05-19",2025-05-27,"OP-009",46.4,97.86,87.35,7.2,0.353,91.96,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202505-0554","HepC-API","Ballydine","2025-05-20",2025-05-30,"OP-010",103.5,100.51,88.37,7.01,0.105,88.1,"No","No","No","No","Pass","Released","Yes","Yes"
"BN-BRI-202505-0563","Oncology-BioTx_01","Brinny","2025-05-20",2025-06-06,"OP-008",100.1,99.3,92.77,7.17,0.256,89.27,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202505-0025","Oncology-BioTx_01","Brinny","2025-05-22",2025-05-31,"OP-003",53.4,99.08,90.96,7.25,0.318,88.35,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202505-0451","Biologics-DS-A","Dunboyne","2025-05-22",2025-06-06,"OP-002",103.3,97.65,83.45,6.91,0.322,83.97,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202505-0158","Keytruda-API","Ballydine","2025-05-24",2025-06-06,"OP-001",201,98.47,90.11,7.13,0.372,87.5,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202505-0437","Biologics-DS-B","Dunboyne","2025-05-24",2025-06-11,"OP-012",104.1,98.15,83.31,7.03,0.158,87.18,"No","No","No","No","Pass","Released","Yes","Yes"
"BN-BAL-202505-0007","Keytruda-API","Ballydine","2025-05-26",2025-06-01,"OP-017",249.3,99.79,90,6.95,0.193,85.69,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202505-0071","Oncology-BioTx_01","Brinny","2025-05-26",2025-06-01,"OP-019",197.3,94.94,73.37,7.1,0.659,73.56,"Yes","Yes","No","Yes","Fail","Under Review","Yes","Yes"
"BN-CAR-202505-0474","Gardasil-Fill","Carlow","2025-05-27",2025-06-02,"OP-016",47.6,98.08,88.62,6.95,0.285,90.49,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202505-0522","Biologics-DS-A","Dunboyne","2025-05-27",2025-06-08,"OP-009",98,98.01,84.88,7.01,0.244,83.98,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202505-0557","Oncology-BioTx_01","Brinny","2025-05-29",2025-06-03,"OP-005",99.1,99.74,98.45,7.25,0.271,84.04,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202505-0575","Oncology-BioTx_01","Brinny","2025-05-29",2025-06-03,"OP-012",202,99.36,88.48,7.19,0.434,93.64,"No","No","No","No","Pass","Released","No","No"
